Date,sample_key,Cumulative_Mass_Loss_g,Cumulative_Mass_Loss_g_piecewise_cal
2026-02-13,sample_0,1.0431527662952789,0.0
2026-02-16,sample_0,1.9823977158055648,1.1599892193026182
2026-02-17,sample_0,3.020307470933305,2.4418317537606797
2026-02-18,sample_0,4.054631419681815,3.719245734469709
2026-02-19,sample_0,5.002592842700937,4.890000000000001
2026-02-20,sample_0,5.687908837933357,5.425404737977072
2026-02-23,sample_0,6.588362797616209,6.12888651820447
2026-02-24,sample_0,11.551902977436908,10.00666399297988
2026-02-26,sample_0,14.456456499746071,12.275853284300759
2026-03-03,sample_0,17.106987476685493,15.123168964693331
2026-03-04,sample_0,21.945414251417315,20.67522153861413
2026-03-11,sample_0,24.28154514222936,26.27897419295163
2026-03-17,sample_0,26.78443834220863,32.562266532974796
2026-03-18,sample_0,29.306622767248797,35.09
2026-03-24,sample_0,30.08914153286003,35.786422073984234
2026-03-25,sample_0,36.72256210341504,41.69000000000001
2026-02-13,sample_10,1.040685712058869,0.0
2026-02-16,sample_10,1.99223884516246,1.2175350335108086
2026-02-17,sample_10,3.035041035549567,2.5518254221904395
2026-02-18,sample_10,4.071891422863657,3.878500336229868
2026-02-19,sample_10,5.018727669119552,5.090000000000003
2026-02-20,sample_10,5.702824722858475,5.575439513908113
2026-02-23,sample_10,6.465970653365808,6.116972601240796
2026-02-24,sample_10,11.457718389542416,9.659147766822285
2026-02-26,sample_10,13.964313559983417,11.437843252284306
2026-03-03,sample_10,16.445666917759237,14.618408801470483
2026-03-04,sample_10,21.297033225268176,21.53078945874168
2026-03-11,sample_10,23.713385051976992,28.730711646803233
2026-03-17,sample_10,26.098481100404207,36.37830920552685
2026-03-18,sample_10,28.5048139920454,39.69
2026-03-24,sample_10,29.259007995387883,40.663120285027816
2026-03-25,sample_10,34.472518000570034,47.39
2026-02-13,sample_5,1.0339013129087422,0.0
2026-02-16,sample_5,1.9453596055189928,1.2137860026246161
2026-02-17,sample_5,2.938422037435871,2.5362439684643046
2026-02-18,sample_5,3.918882315966212,3.8419196881962736
2026-02-19,sample_5,4.82605608131834,5.049999999999997
2026-02-20,sample_5,5.479137845944965,5.602827050217323
2026-02-23,sample_5,6.198381046079701,6.211659080532361
2026-02-24,sample_5,10.983768238389388,10.262440512448158
2026-02-26,sample_5,13.34094410199513,12.2577658301986
2026-03-03,sample_5,15.657771613059024,15.07632625292045
2026-03-04,sample_5,20.15066493844639,20.957873851360638
2026-03-11,sample_5,22.38809976873089,27.754473684210524
2026-03-17,sample_5,24.58761197477328,35.250376127737965
2026-03-18,sample_5,26.821374353122245,38.45
2026-03-24,sample_5,27.52118481290874,39.3588447049925
2026-03-25,sample_5,32.365374645784314,45.650000000000006
